ambient_light,motion_detected,sin_hour,cos_hour,time_period,day_of_week,led_brightness
945,0,-0.5,0.866,4,3,32
955,1,-0.5,0.866,4,3,62
965,0,0,1,4,4,30
975,1,0,1,4,4,60
985,0,0.5,0.866,4,5,28
995,1,0.5,0.866,4,5,58
850,0,0.707,0.707,4,6,35
800,1,0.707,0.707,4,6,55
750,0,0.866,0.5,4,0,32
700,1,0.866,0.5,4,0,52
650,0,1,0,4,1,30
600,1,1,0,4,1,50
550,0,0.866,-0.5,4,2,28
500,1,0.866,-0.5,4,2,48
450,0,0.707,-0.707,4,3,25
400,1,0.707,-0.707,4,3,45
350,0,0.5,-0.866,0,4,12
300,1,0.5,-0.866,0,4,35
250,0,0,-1,0,5,10
200,1,0,-1,0,5,32
180,0,-0.5,-0.866,1,6,22
160,1,-0.5,-0.866,1,6,48
140,0,-0.707,-0.707,1,0,25
120,1,-0.707,-0.707,1,0,50
100,0,-0.866,-0.5,1,1,28
90,1,-0.866,-0.5,1,1,52
80,0,-1,0,1,2,30
70,1,-1,0,1,2,55
110,0,-0.866,0.5,2,3,35
130,1,-0.866,0.5,2,3,60
150,0,-0.707,0.707,2,4,38
170,1,-0.707,0.707,2,4,63
190,0,-0.5,0.866,2,5,40
210,1,-0.5,0.866,2,5,65
230,0,0,1,2,6,42
240,1,0,1,2,6,67
260,0,0.5,0.866,3,0,60
270,1,0.5,0.866,3,0,85
280,0,0.707,0.707,3,1,62
290,1,0.707,0.707,3,1,87
310,0,0.866,0.5,3,2,65
320,1,0.866,0.5,3,2,88
330,0,1,0,3,3,68
340,1,1,0,3,3,90
360,0,0.866,-0.5,3,4,70
370,1,0.866,-0.5,3,4,92
380,0,0.707,-0.707,3,5,72
390,1,0.707,-0.707,3,5,93
410,0,0.5,-0.866,4,6,38
420,1,0.5,-0.866,4,6,63
430,0,0,-1,4,0,35
440,1,0,-1,4,0,60
460,0,-0.5,-0.866,4,1,32
470,1,-0.5,-0.866,4,1,57
480,0,-0.707,-0.707,4,2,30
490,1,-0.707,-0.707,4,2,55
510,0,-0.866,-0.5,4,3,28
520,1,-0.866,-0.5,4,3,53
530,0,-1,0,4,4,25
540,1,-1,0,4,4,50
560,0,-0.866,0.5,0,5,15
570,1,-0.866,0.5,0,5,40
580,0,-0.707,0.707,0,6,18
590,1,-0.707,0.707,0,6,43
610,0,-0.5,0.866,1,0,30
620,1,-0.5,0.866,1,0,55
630,0,0,1,1,1,32
640,1,0,1,1,1,57
660,0,0.5,0.866,2,2,48
670,1,0.5,0.866,2,2,73
680,0,0.707,0.707,2,3,50
690,1,0.707,0.707,2,3,75
710,0,0.866,0.5,2,4,52
720,1,0.866,0.5,2,4,77
730,0,1,0,3,5,65
740,1,1,0,3,5,88
760,0,0.866,-0.5,3,6,68
770,1,0.866,-0.5,3,6,90
780,0,0.707,-0.707,3,0,70
790,1,0.707,-0.707,3,0,92
810,0,0.5,-0.866,4,1,35
820,1,0.5,-0.866,4,1,60
830,0,0,-1,4,2,32
840,1,0,-1,4,2,58
860,0,-0.5,-0.866,4,3,30
870,1,-0.5,-0.866,4,3,55
880,0,-0.707,-0.707,4,4,28
890,1,-0.707,-0.707,4,4,53
910,0,-0.866,-0.5,4,5,25
920,1,-0.866,-0.5,4,5,50
930,0,-1,0,4,6,22
940,1,-1,0,4,6,48
820,0,-0.866,0.5,4,0,30
780,1,-0.866,0.5,4,0,52
740,0,-0.707,0.707,4,1,28
720,1,-0.707,0.707,4,1,50
680,0,-0.5,0.866,4,2,25
660,1,-0.5,0.866,4,2,48
640,0,0,1,4,3,22
620,1,0,1,4,3,45
580,0,0.5,0.866,4,4,20
560,1,0.5,0.866,4,4,43
540,0,0.707,0.707,4,5,18
520,1,0.707,0.707,4,5,40
480,0,0.866,0.5,4,6,15
460,1,0.866,0.5,4,6,38
440,0,1,0,0,0,12
420,1,1,0,0,0,35
410,0,0.866,-0.5,0,1,10
390,1,0.866,-0.5,0,1,32
370,0,0.707,-0.707,1,2,25
360,1,0.707,-0.707,1,2,48
340,0,0.5,-0.866,1,3,28
330,1,0.5,-0.866,1,3,50
310,0,0,-1,1,4,30
290,1,0,-1,1,4,52
270,0,-0.5,-0.866,2,5,42
260,1,-0.5,-0.866,2,5,65
240,0,-0.707,-0.707,2,6,45
230,1,-0.707,-0.707,2,6,68
